,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t)
0,0.00053614815,0.064297915,0.016513513,0.045557477,0.036968213,0.010693412,0.024046522,0.027004197,0.12896341
1,0.2667197,0.05393421,0.012632301,0.053599957,0.00092782255,0.018202838,0.050880767,0.118083686,0.050374907
2,0.025406335,0.07550894,0.062121253,0.22466747,0.039890107,0.065662794,0.05667978,0.0186891,0.17809023
3,0.00010282204,0.13747105,0.032859582,0.2178811,0.0049651964,0.0412603,0.18407658,0.06757355,0.1499792
4,0.004061818,0.13175444,0.024015613,0.2776514,0.01616577,0.021493336,0.15888606,0.058744434,0.11270248
5,0.008306814,0.16511136,0.014891814,0.28345817,4.5262237e-05,0.08300697,0.16212122,0.08198337,0.097935274
6,0.033975005,0.18956563,0.061146274,0.29794002,0.0025793824,0.054181203,0.2705661,0.10111555,0.12023752
7,0.03864727,0.19691677,0.03058317,0.41314423,0.0038668097,0.04328904,0.21867892,0.061247233,0.20184831
8,0.0014989773,0.18236496,0.021454234,0.41814482,0.00091665785,0.0217208,0.20598966,0.16526741,0.15308292
9,0.10843764,0.12459769,0.049622223,0.38051984,0.047554743,0.011857175,0.16438343,0.051537693,0.113460384
10,0.028919848,0.12538525,0.05854346,0.39593753,0.028903617,0.014420839,0.1369707,0.036265075,0.17727979
11,0.0043768296,0.11646547,0.13903178,0.3486239,0.0010265706,0.013555806,0.16742691,0.111397,0.14043088
12,0.0017371009,0.16567142,0.13547656,0.39007166,0.03777083,0.021158196,0.1553126,0.035622414,0.1689185
13,0.014675807,0.20347255,0.06789695,0.39287555,0.098030396,0.03398852,0.18052983,0.0481556,0.19065548
14,8.167258e-05,0.14302832,0.03549257,0.39108518,0.0007203659,0.018929347,0.22922076,0.0637508,0.17141134
15,0.0010051683,0.14268965,0.028514814,0.4078483,0.00025502304,0.00946495,0.16719046,0.15559351,0.13248612
16,0.007320147,0.18703496,0.113924235,0.34786728,0.000608182,0.0051605194,0.12737527,0.039408714,0.11347796
17,0.021035261,0.2418685,0.082303874,0.35309306,0.009372907,0.046279516,0.1581611,0.056654923,0.18402582
18,0.0065345755,0.16183895,0.042336527,0.3813269,0.030115077,0.02430197,0.24691229,0.073018715,0.21810012
19,0.022244161,0.29943103,0.02495955,0.43646476,0.003569043,0.013204446,0.17459594,0.065692835,0.24104905
20,0.019040514,0.1090499,0.012877354,0.4256628,0.027750716,0.025979355,0.2948276,0.1051924,0.187614
21,0.17644104,0.16930595,0.01983902,0.4716792,0.0031734328,0.025518239,0.1509826,0.059197184,0.08214095
22,0.0056962706,0.11917648,0.022987586,0.46155053,0.03146324,0.017209105,0.16380703,0.049026836,0.19413234
23,0.02684008,0.104404435,0.014583426,0.39414844,0.024992216,0.008984439,0.2547289,0.087707706,0.08398024
24,0.0023385212,0.13914876,0.01845966,0.4115422,0.000351034,0.028052738,0.14168392,0.033545572,0.106114544
25,0.04820542,0.14170103,0.009674718,0.45635903,0.008741562,0.13117549,0.13442601,0.055370845,0.09162488
26,0.0138199255,0.22607026,0.0067716995,0.43501788,0.09350812,0.06610122,0.2744784,0.16548623,0.13514332
27,0.002451586,0.25435963,0.013098905,0.4656728,0.0022144597,0.08475381,0.24459974,0.0799155,0.17901587
28,0.00034688698,0.3180098,0.012360606,0.46076763,0.000120166456,0.08252681,0.26317936,0.08535137,0.16520618
29,3.7502992e-05,0.19847625,0.0064133424,0.4548804,0.011720849,0.041298,0.3366093,0.1588597,0.24406038
30,0.0011800638,0.1992244,0.008375188,0.5006821,0.005524257,0.022229137,0.23821336,0.09519094,0.15643126
31,0.0130746085,0.15685669,0.004511365,0.45618433,0.038764715,0.014097453,0.20895642,0.057946272,0.12620229
32,0.036194243,0.12671888,0.00812214,0.5194675,0.044275615,0.022287697,0.15314321,0.052203417,0.09869473
33,0.04779521,0.094062984,0.2420678,0.4192673,0.023751674,0.089004904,0.15757687,0.046301167,0.10676395
34,0.04994473,0.32446927,0.13871758,0.5070497,0.0010760411,0.07102464,0.2189438,0.07058958,0.2897947
35,0.06410103,0.29964203,0.07537378,0.5340449,0.0006444836,0.13749456,0.3451815,0.11497717,0.31390652
36,0.0107967835,0.28442332,0.03778839,0.6392104,0.19964781,0.07034951,0.35808146,0.15082179,0.2731748
37,0.07275967,0.25226453,0.02118973,0.6300496,0.0049694562,0.09435621,0.2997944,0.09049109,0.22478716
38,0.004016484,0.20833872,0.010856358,0.6141708,0.017040864,0.047203515,0.27845663,0.109108865,0.20202117
39,0.012286505,0.18597174,0.13093102,0.55707073,0.042447723,0.023923056,0.3231524,0.08407387,0.14433637
40,0.00016577754,0.24137896,0.22578712,0.6091738,0.09349431,0.01196355,0.22524896,0.053050205,0.2951375
41,0.00041472723,0.26993358,0.11841313,0.64565635,0.09892861,0.007294188,0.24250692,0.13898107,0.2934241
42,0.026633205,0.18422872,0.078320086,0.5659596,0.003183382,0.021485774,0.24406604,0.23075505,0.31218106
43,0.042903338,0.17805639,0.16218208,0.55118376,0.09208615,0.03828992,0.1966979,0.05880843,0.1717262
44,0.01456158,0.2007285,0.09190781,0.5365846,0.0015447341,0.21039844,0.20803411,0.09598103,0.25246882
45,0.019441279,0.2915257,0.05337681,0.53143936,0.0054441644,0.105371095,0.35161856,0.115384534,0.22942606
46,0.03541117,0.27847603,0.049251437,0.6210368,0.065271504,0.053128432,0.3312498,0.12312908,0.22478816
47,0.02482278,0.39805433,0.037181057,0.61462784,2.43328e-05,0.06617176,0.2908368,0.10465984,0.2358233
48,4.0302584e-07,0.197362,0.026678348,0.5729944,0.00084512605,0.08875397,0.4597978,0.11699371,0.302302
49,0.003745822,0.29036036,0.052728336,0.6845946,0.039037608,0.05524458,0.43170005,0.16286114,0.16336013
50,0.004510258,0.33379596,0.03149994,0.7081564,0.0011018397,0.029960921,0.35587168,0.09011753,0.27856582
51,0.092738464,0.20930667,0.03218995,0.66541696,0.032648467,0.014996193,0.30660063,0.11559814,0.20620292
52,0.014716028,0.17727718,0.018617846,0.6295482,0.0013883257,0.05709509,0.20780975,0.072818965,0.20860606
53,0.010276472,0.16724785,0.049348332,0.5161619,0.009293455,0.05324,0.18856627,0.059545383,0.17372069
54,0.03704328,0.14809132,0.044713095,0.44278187,0.0069193724,0.26200557,0.35824293,0.08763194,0.14025263
55,0.047919773,0.36765677,0.048627965,0.6020877,0.00012247157,0.16280866,0.3728826,0.10792565,0.20180069
56,0.012213497,0.37954143,0.02582988,0.6929658,0.02038194,0.08170226,0.4196835,0.15006875,0.31544337
57,0.033448003,0.2811656,0.08813234,0.7392778,0.0014262723,0.18015607,0.37542945,0.14826791,0.2363444
58,0.0014474024,0.3493488,0.059054285,0.78093785,0.07744712,0.09464077,0.39217347,0.12925865,0.28849232
59,0.014269623,0.29609954,0.036784418,0.74500304,0.0831729,0.050031062,0.39864483,0.11125593,0.25068784
60,0.0421172,0.25268662,0.056945734,0.7105184,0.0054807756,0.055391558,0.3353969,0.08690331,0.20349024
61,0.033197768,0.24552433,0.047604855,0.6788424,0.012534746,0.030477013,0.2838428,0.09651726,0.21722694
62,0.00022992153,0.19006692,0.028381985,0.60747486,0.021225987,0.02377754,0.26132315,0.101014525,0.18281296
63,0.011799349,0.24558726,0.04465212,0.51998436,0.011141558,0.014602905,0.24021298,0.22595857,0.12718381
64,0.0057444116,0.23660198,0.026834723,0.47247115,0.0022206753,0.01337862,0.21826051,0.06507012,0.21163881
65,0.010212949,0.14211492,0.031669095,0.42449796,1.3221438e-05,0.0067110835,0.2730036,0.06252206,0.148005
66,0.0005821614,0.15799482,0.01732091,0.4451687,0.05374857,0.0041095186,0.25131208,0.05788081,0.106498666
67,0.033152036,0.14266782,0.024847455,0.43034962,0.00088441663,0.080948524,0.1493415,0.06240984,0.0962526
68,0.16687432,0.13984267,0.03605119,0.37690523,0.05345903,0.049020424,0.17647702,0.06906508,0.12696652
69,0.008190815,0.14594904,0.018298177,0.43570566,0.0010523965,0.050567552,0.16545904,0.08235929,0.19347563
70,0.0060475264,0.121401004,0.009255487,0.3713622,0.0025937445,0.02870979,0.23834261,0.051791493,0.12456676
71,0.01735336,0.14346002,0.019144092,0.45212567,0.1667676,0.025921784,0.1483076,0.07298365,0.07847195
72,0.01238133,0.112385646,0.024794314,0.3665091,0.011196096,0.013735782,0.24418572,0.042365737,0.17574428
73,0.008686602,0.16128674,0.037689764,0.42340797,0.0117568625,0.009631509,0.14198586,0.044461176,0.084831975
74,3.9007275e-05,0.09532161,0.099786706,0.43702555,0.0023209401,0.027898263,0.1465315,0.05382631,0.14600998
75,0.0049591623,0.1494467,0.05160691,0.38529882,5.4669392e-05,0.074144065,0.1320395,0.18550521,0.1576263
76,0.029326417,0.14697234,0.031735033,0.3495117,0.00052101165,0.065592766,0.21798614,0.103144184,0.14341879
77,0.034692198,0.22288701,0.030091535,0.5233905,0.00040601118,0.110314064,0.18560578,0.06487056,0.15896349
78,0.023778157,0.1756181,0.017434152,0.4647072,0.019382063,0.056588832,0.25404724,0.083935544,0.18469404
79,0.0026275062,0.1641943,0.042700466,0.5492856,0.0006407867,0.06395435,0.20595466,0.073198386,0.12693049
80,0.0031817877,0.16275929,0.040678516,0.48689568,0.0022407891,0.051933076,0.20693949,0.057540756,0.13184988
81,0.07908903,0.21988183,0.025575317,0.45423508,0.031565364,0.036513902,0.18306683,0.06388189,0.15706934
82,0.0028175472,0.13909489,0.015341112,0.43550643,0.024699273,0.01859032,0.19500414,0.10270484,0.18952587
83,0.05709144,0.18263352,0.007731293,0.39811373,0.010822657,0.012260475,0.14861798,0.11000115,0.124671295
84,0.032198567,0.08584952,0.016707871,0.34680232,0.029558402,0.029270118,0.18024957,0.067139566,0.12955537
85,0.0037079449,0.1508564,0.011025365,0.3408864,0.0124746775,0.03345616,0.11824421,0.029372236,0.080135405
86,0.06791381,0.08136329,0.043332376,0.27594414,0.022617623,0.08059088,0.14341164,0.05499552,0.096867114
87,0.09558832,0.13414997,0.0758954,0.3376698,0.01964867,0.062237747,0.15824181,0.07668917,0.13162407
88,0.020883903,0.14861318,0.041168034,0.42029235,0.00034120565,0.053709537,0.1895163,0.049712025,0.20194018
89,0.031653907,0.14568329,0.024622897,0.39888233,0.050167955,0.06742939,0.20068017,0.050624404,0.1410865
90,0.05937309,0.1497344,0.030808456,0.4352658,0.12956068,0.042660303,0.23509465,0.13879386,0.12961517
91,0.0021858653,0.2148499,0.01540839,0.5226583,0.0010463494,0.10548703,0.17999828,0.08500409,0.25344145
92,0.019457424,0.15386754,0.044520628,0.44141978,0.016607873,0.09300502,0.23539285,0.0921604,0.1924369
93,0.043801036,0.18945414,0.022526074,0.4539641,0.018086575,0.052590266,0.21709073,0.064436994,0.19419229
94,0.090728715,0.1461758,0.011676496,0.46388867,0.019211126,0.045503326,0.19767658,0.08906578,0.14669608
95,0.0016292616,0.12742946,0.0059413947,0.53359133,0.03152687,0.056718823,0.16851503,0.051792968,0.15410955
96,0.23779398,0.118931405,0.02616879,0.41144538,0.011337961,0.029909033,0.17581637,0.050315708,0.11762193
97,0.0051395376,0.1191391,0.036138333,0.47721073,0.0055689723,0.06866328,0.15201534,0.05911298,0.2754221
98,0.15183349,0.22656642,0.04888866,0.4266477,0.008896259,0.034340348,0.16723424,0.047007963,0.13992456
99,0.1148489,0.13684084,0.105168894,0.45074674,0.0008689692,0.01784749,0.2599256,0.090610914,0.23564336
100,0.0026291918,0.19740334,0.08775215,0.5500227,3.3408935e-05,0.009525132,0.24485779,0.04752091,0.24232195
101,0.00297484,0.20983735,0.047891505,0.5256686,0.091032185,0.044342842,0.18909952,0.08713345,0.19112259
102,0.00056740694,0.14823984,0.05196369,0.44904757,0.0012533173,0.024981763,0.19791521,0.06354514,0.2089198
103,0.011713708,0.1409437,0.027851712,0.405571,0.0037626103,0.07454833,0.15604293,0.044584647,0.15487525
104,2.9844692e-08,0.13368171,0.01491613,0.36431962,0.008181841,0.044195093,0.1863223,0.054841533,0.14724375
105,0.005154347,0.16183352,0.020033652,0.34360218,0.0072625,0.022408355,0.25334382,0.0718839,0.09134387
106,0.01613835,0.15416084,0.011884833,0.3885038,0.0061508473,0.019400813,0.2751853,0.09142034,0.13276334
107,0.0041479743,0.15333708,0.019018883,0.42755684,0.065599196,0.011136434,0.16671257,0.04639551,0.20226668
108,0.0064757643,0.100799575,0.01498045,0.37903392,0.026015325,0.0055960123,0.13186295,0.110027984,0.09622318
109,0.011175347,0.07783457,0.03129743,0.3236493,0.0054378095,0.059780788,0.11251605,0.034435414,0.073856845
110,0.1793468,0.1021284,0.035691474,0.3596746,0.079110384,0.16866809,0.15454845,0.03558157,0.11612099
111,0.002345535,0.17958347,0.020585733,0.4472359,0.028684253,0.084943876,0.22522198,0.079953656,0.25938863
112,0.008411666,0.18288472,0.043831967,0.42975986,3.3471562e-05,0.044504993,0.21557103,0.15661687,0.164811
113,0.00028707364,0.15775922,0.024775911,0.43212488,0.0035729262,0.06699331,0.20246701,0.06721144,0.1420613
114,0.05635329,0.16209719,0.022692092,0.5592728,0.00027033867,0.08514495,0.20073856,0.061254665,0.1348565
115,0.0036147174,0.15850031,0.036979858,0.4913321,0.0016184895,0.054411888,0.37456065,0.06952355,0.14788763
116,0.04515318,0.27379557,0.020348344,0.56484103,0.042906716,0.036830835,0.22436246,0.13116029,0.12394825
117,0.0149446195,0.14351863,0.01063847,0.49339965,0.019642828,0.018474162,0.23132849,0.0957094,0.1899007
118,0.04054646,0.13560638,0.0055445717,0.43888482,0.0098853605,0.047560133,0.15005156,0.04079111,0.109862
119,0.010498544,0.36060637,0.0029852772,0.3727935,0.025428494,0.023781782,0.14675058,0.05925383,0.10417735
120,3.1230687e-07,0.08939706,0.011438139,0.34863308,0.03698101,0.016797038,0.24969478,0.12599853,0.23583627
121,0.0032117788,0.23585922,0.1508877,0.3766315,0.007154299,0.049527682,0.1448957,0.03195496,0.06986136
122,0.0011335133,0.17507075,0.09209335,0.38759547,0.019513052,0.03057943,0.2302841,0.113158934,0.29366767
123,0.0029798648,0.17818996,0.086122215,0.42094868,0.0005901775,0.05104298,0.20788331,0.051440183,0.26832506
124,0.00059334614,0.21191657,0.04420968,0.43546194,0.0006639873,0.04004064,0.21514529,0.05735263,0.20430958
125,0.002665203,0.20111315,0.102501184,0.43336096,0.13274838,0.08412935,0.27069098,0.155206,0.16760714
126,0.027741086,0.2366388,0.12641338,0.49434128,3.4978325e-09,0.051616024,0.26070288,0.0716973,0.21133356
127,0.045622855,0.22367601,0.09934923,0.5628575,0.01693583,0.089131504,0.2745626,0.076383516,0.3310098
128,0.0073234793,0.2472157,0.1458202,0.58283013,0.0007104861,0.044744167,0.28608197,0.12919626,0.24558921
129,0.0025902179,0.25571677,0.074169375,0.59600616,0.014578259,0.024185888,0.28867036,0.08027396,0.24848486
130,0.01835967,0.24211797,0.041100148,0.63912857,0.032294795,0.023152906,0.24864197,0.08632621,0.23324303
131,0.00057956437,0.16049252,0.03274873,0.5419482,0.0048810877,0.015027361,0.21398269,0.075269714,0.1669241
132,0.028064374,0.13581574,0.07222043,0.47077832,0.0065484988,0.056800805,0.16024314,0.050791286,0.2512815
133,0.0022381505,0.15483332,0.05850511,0.43122166,0.000540246,0.028541574,0.17665775,0.04998545,0.15727104
134,0.00012096385,0.13257237,0.029735422,0.38989604,9.513548e-05,0.015825853,0.15766016,0.09659606,0.12956981
135,0.00016325853,0.24463958,0.021374855,0.34106177,0.052597687,0.008662439,0.18372324,0.09422521,0.14949204
136,0.03065485,0.1305061,0.066522226,0.3217922,0.027494617,0.005205625,0.2063803,0.079767704,0.2122808
137,0.0897565,0.15393135,0.036973357,0.36581224,0.030962097,0.017015886,0.13791569,0.041895702,0.19949323
138,0.028544761,0.09614914,0.08270955,0.36454153,0.07228772,0.0092457635,0.15041924,0.05321231,0.17017828
139,3.3946548e-05,0.12758489,0.06574832,0.40527466,0.0054107616,0.024203205,0.13615835,0.1131608,0.12693617
140,3.3474905e-06,0.1664738,0.080530524,0.37844276,0.054242633,0.17635186,0.15090865,0.07410053,0.12928124
141,0.001870071,0.2347844,0.061694823,0.3983282,0.08502189,0.09092282,0.3191342,0.13280295,0.21465538
142,0.034841727,0.23832665,0.09420173,0.7478535,0.0038791136,0.09561752,0.31996608,0.1261827,0.19020256
143,0.03645428,0.28976744,0.047231395,0.7028635,0.049798306,0.047825906,0.31411615,0.08375465,0.25030348
144,0.012509668,0.24851723,0.02495651,0.6414749,0.00014367567,0.027532596,0.2855285,0.11887124,0.21382968
145,0.023127705,0.16993871,0.028566094,0.70861924,0.008982976,0.028603239,0.22521257,0.10017774,0.16018163
146,0.00698025,0.1632055,0.05206156,0.57124895,0.0090854205,0.019444212,0.18022422,0.1262292,0.14055179
147,0.05643628,0.1267346,0.09997692,0.4654227,0.04014896,0.027977526,0.1647343,0.07153734,0.12900557
148,0.0027470302,0.17744648,0.07280333,0.44146407,0.007958815,0.014114507,0.16101164,0.07034196,0.17702673
149,0.10112995,0.12533127,0.03732104,0.38481355,0.005399737,0.025067786,0.15778102,0.06932194,0.15048121
150,0.08887448,0.12053808,0.09306325,0.44238672,0.0019359706,0.051297832,0.13045904,0.063283294,0.15593132
151,0.0137434695,0.13812888,0.053161427,0.4248056,0.04150693,0.04342358,0.21411446,0.043039177,0.1879296
152,0.0006111353,0.202318,0.08809532,0.42071098,0.08584259,0.023804855,0.22200388,0.09041621,0.1496718
153,0.20086092,0.16718882,0.09569981,0.4289214,0.02864768,0.013143723,0.20246065,0.05728783,0.17371331
154,0.00015155766,0.17151488,0.06449595,0.58253866,4.784389e-06,0.04275313,0.18696214,0.077747196,0.29778743
155,0.011145929,0.14720015,0.073903516,0.48129812,0.08933381,0.021397227,0.18267405,0.058916077,0.14880149
156,0.05350097,0.17414148,0.054607444,0.42557043,0.008509036,0.031913865,0.21196635,0.055500425,0.15892638
157,0.006978422,0.20571604,0.049216025,0.48970985,0.085045606,0.01995575,0.20582843,0.05162746,0.16952546
158,0.012035593,0.15634349,0.02861461,0.434924,0.00053975545,0.07812816,0.19557928,0.0697983,0.15930462
159,6.420751e-05,0.16404532,0.014320552,0.40577725,0.02097309,0.13955306,0.21555103,0.060247865,0.12670204
160,0.002808549,0.19648346,0.05004444,0.45181674,0.0004675214,0.07532733,0.2736109,0.13644777,0.15291385
161,0.0102519505,0.19998021,0.028067123,0.5386209,0.011661255,0.0378399,0.23566574,0.117272384,0.15672894
162,0.003567009,0.15867499,0.022677831,0.49442914,0.01249162,0.019664666,0.1943908,0.12056507,0.14319387
163,0.0064189783,0.120335706,0.044815116,0.43612337,0.019067366,0.011651277,0.14910042,0.07424663,0.12822388
164,0.041293286,0.10585868,0.022872677,0.35848457,9.8725395e-05,0.023408668,0.11739852,0.03621538,0.11430778
165,4.9302496e-05,0.0914116,0.1342779,0.30548784,0.044918913,0.029432748,0.16074085,0.057078388,0.16941813
